LLL04_mods:{'normalized': None}
1.0000000 0.0000000
0.9858746 0.0045173
0.9594487 0.0131204
0.9284868 0.0232641
0.8951496 0.0340726
0.8608871 0.0446798
0.8262715 0.0548328
0.7915063 0.0645796
0.7566740 0.0732839
0.7218100 0.0809785
0.6869386 0.0878834
0.6520800 0.0940204
0.6172544 0.0992948
0.5824806 0.1036881
0.5477768 0.1072422
0.5131760 0.1099915
0.4786966 0.1118838
0.4443629 0.1128319
0.4103093 0.1128485
0.3767175 0.1120598
0.3436157 0.1104823
0.3108274 0.1079221
0.2783541 0.1045179
0.2462965 0.1004180
0.2147972 0.0954509
0.1840960 0.0894153
0.1545109 0.0825994
0.1267488 0.0753144
0.1013267 0.0677143
0.0794586 0.0600604
0.0612856 0.0527092
0.0465567 0.0459042
0.0352292 0.0397226
0.0262894 0.0340472
0.0189982 0.0289202
0.0131500 0.0241499
0.0086403 0.0195528
0.0052321 0.0148631
0.0027497 0.0103274
0.0010893 0.0063163
0.0001963 0.0026421
0.0000000 0.0000000
0.0006571 -0.0048356
0.0020660 -0.0085305
0.0043563 -0.0122279
0.0076007 -0.0156631
0.0119078 -0.0188351
0.0174628 -0.0217587
0.0243414 -0.0246137
0.0326144 -0.0275088
0.0427885 -0.0304361
0.0559173 -0.0332016
0.0726104 -0.0357757
0.0931066 -0.0381191
0.1181926 -0.0400075
0.1467405 -0.0411803
0.1779224 -0.0418320
0.2107472 -0.0419093
0.2446216 -0.0414318
0.2791990 -0.0405182
0.3142281 -0.0393714
0.3496471 -0.0380655
0.3852881 -0.0366535
0.4208634 -0.0349271
0.4564128 -0.0329363
0.4920849 -0.0307727
0.5279306 -0.0284358
0.5639091 -0.0258967
0.6000096 -0.0232131
0.6362185 -0.0205054
0.6725135 -0.0178656
0.7088769 -0.0152956
0.7452888 -0.0127442
0.7817243 -0.0104872
0.8181476 -0.0088112
0.8544757 -0.0069633
0.8904853 -0.0047469
0.9255510 -0.0030703
0.9580261 -0.0017513
0.9854832 -0.0006544
1.0000000 0.0000000
