Xoptfoil2 

 Calculated polar for: LLL05_mods:{'thickness': '15.0@40.0'}

 1 1 Reynolds number fixed          Mach number fixed

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.400 e 6     Ncrit =   7.000

  alpha     CL        CD       CDp       Cm    Top Xtr Bot Xtr Top XBb Top XBe Bot XBb Bot XBe
 ------- -------- --------- --------- -------- ------- ------- ------- ------- ------- -------
 -11.400 -0.52350  0.026042  0.011904 -0.15815  0.9219  0.0318  0.8263  0.9285  0.0000  0.0000
 -11.100 -0.52561  0.025253  0.011545 -0.15274  0.9153  0.0321  0.8263  0.9285  0.0000  0.0000
 -10.800 -0.51445  0.024336  0.010930 -0.14980  0.9104  0.0326  0.8263  0.9285  0.0000  0.0000
 -10.500 -0.49505  0.023410  0.010230 -0.14830  0.9068  0.0333  0.8263  0.9285  0.0000  0.0000
 -10.200 -0.47231  0.022532  0.009533 -0.14727  0.9036  0.0339  0.8263  0.9285  0.0000  0.0000
  -9.900 -0.44699  0.021699  0.008835 -0.14661  0.9005  0.0344  0.7915  0.8951  0.0000  0.0000
  -9.600 -0.41885  0.020922  0.008132 -0.14644  0.8968  0.0348  0.7915  0.8951  0.0000  0.0000
  -9.300 -0.40538  0.020385  0.007736 -0.14306  0.8926  0.0351  0.7915  0.8951  0.0000  0.0000
  -9.000 -0.39510  0.019876  0.007403 -0.13890  0.8880  0.0353  0.7915  0.8951  0.0000  0.0000
  -8.700 -0.38553  0.018656  0.006564 -0.13493  0.8831  0.0364  0.7915  0.8951  0.0000  0.0000
  -8.400 -0.36696  0.017802  0.005986 -0.13251  0.8789  0.0377  0.7915  0.8951  0.0000  0.0000
  -8.100 -0.34278  0.017100  0.005494 -0.13107  0.8754  0.0388  0.7915  0.8951  0.0000  0.0000
  -7.800 -0.31511  0.016491  0.005062 -0.13026  0.8724  0.0400  0.7915  0.8951  0.0000  0.0000
  -7.500 -0.28534  0.015945  0.004664 -0.12981  0.8696  0.0414  0.7915  0.8951  0.0263  0.0466
  -7.200 -0.25345  0.015433  0.004272 -0.12974  0.8666  0.0429  0.7915  0.8609  0.0263  0.0466
  -6.900 -0.21964  0.015006  0.003907 -0.13008  0.8629  0.0447  0.7567  0.8609  0.0263  0.0466
  -6.600 -0.19717  0.014769  0.003716 -0.12800  0.8591  0.0460  0.7567  0.8609  0.0263  0.0466
  -6.300 -0.18250  0.014441  0.003520 -0.12426  0.8550  0.0485  0.7567  0.8609  0.0263  0.0466
  -6.000 -0.16331  0.014121  0.003363 -0.12146  0.8506  0.0531  0.7567  0.8609  0.0263  0.0466
  -5.700 -0.13791  0.013853  0.003217 -0.11990  0.8465  0.0589  0.7567  0.8609  0.0263  0.0613
  -5.400 -0.10895  0.013487  0.003017 -0.11907  0.8427  0.0681  0.7567  0.8609  0.0000  0.0000
  -5.100 -0.07560  0.013215  0.002875 -0.11911  0.8393  0.0772  0.7567  0.8609  0.0000  0.0000
