0012_mods:{'thickness': '15.0@31.4'}
1.0000000 0.0015746
0.9843230 0.0043560
0.9565955 0.0091544
0.9219818 0.0149351
0.8825328 0.0212517
0.8395376 0.0278184
0.7939343 0.0344283
0.7464616 0.0409195
0.6977298 0.0471564
0.6482608 0.0530181
0.5985117 0.0583923
0.5488904 0.0631725
0.4997658 0.0672588
0.4514757 0.0705588
0.4043320 0.0729910
0.3586252 0.0744883
0.3146274 0.0750000
0.2725951 0.0745007
0.2327707 0.0729962
0.1953851 0.0705045
0.1606581 0.0670467
0.1288001 0.0626605
0.1000132 0.0573694
0.0744916 0.0512672
0.0524225 0.0442994
0.0339868 0.0367807
0.0193595 0.0282493
0.0087102 0.0196889
0.0022037 0.0098731
0.0000000 0.0000000
0.0022037 -0.0098731
0.0087102 -0.0196889
0.0193595 -0.0282493
0.0339868 -0.0367807
0.0524225 -0.0442994
0.0744916 -0.0512672
0.1000132 -0.0573694
0.1288001 -0.0626605
0.1606581 -0.0670467
0.1953851 -0.0705045
0.2327707 -0.0729962
0.2725951 -0.0745007
0.3146274 -0.0750000
0.3586252 -0.0744883
0.4043320 -0.0729910
0.4514757 -0.0705588
0.4997658 -0.0672588
0.5488904 -0.0631725
0.5985117 -0.0583923
0.6482608 -0.0530181
0.6977298 -0.0471564
0.7464616 -0.0409195
0.7939343 -0.0344283
0.8395376 -0.0278184
0.8825328 -0.0212517
0.9219818 -0.0149351
0.9565955 -0.0091544
0.9843230 -0.0043560
1.0000000 -0.0015746
